Gene_ID	Metabolite_Category	Description	SwissProt_Hit	NR_Hit	GOs	KEGG_Pathway
CcGene_15217	Glycosyltransferase	Belongs to the UDP-glycosyltransferase family	sp|Q93XP7|CZOG1_MAIZE	XP_074367276.1	GO:0000003,GO:0003006,GO:0003674,GO:0003824,GO:0006464,GO:0006486,GO:0006725,GO:0006807,GO:0007275,GO:0008150,GO:0008152,GO:0008194,GO:0009058,GO:0009059,GO:0009100,GO:0009101,GO:0009308,GO:0009653,GO:0009690,GO:0009791,GO:0009888,GO:0009889,GO:0009908,GO:0009965,GO:0009966,GO:0009987,GO:0010015,GO:0010016,GO:0010073,GO:0010075,GO:0010083,GO:0010154,GO:0010380,GO:0010646,GO:0010817,GO:0016740,GO:0016757,GO:0016758,GO:0016763,GO:0019222,GO:0019538,GO:0022414,GO:0022622,GO:0023051,GO:0031323,GO:0031326,GO:0032501,GO:0032502,GO:0034645,GO:0034754,GO:0035251,GO:0035252,GO:0036211,GO:0040008,GO:0042285,GO:0042445,GO:0043170,GO:0043412,GO:0043413,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0045926,GO:0046483,GO:0046527,GO:0048316,GO:0048364,GO:0048366,GO:0048367,GO:0048439,GO:0048507,GO:0048509,GO:0048519,GO:0048583,GO:0048608,GO:0048638,GO:0048731,GO:0048827,GO:0048831,GO:0048856,GO:0050403,GO:0050404,GO:0050502,GO:0050789,GO:0050793,GO:0050794,GO:0051171,GO:0051193,GO:0051239,GO:0061458,GO:0065007,GO:0065008,GO:0070085,GO:0071704,GO:0080036,GO:0090056,GO:0090567,GO:0090698,GO:0099402,GO:1901135,GO:1901137,GO:1901401,GO:1901463,GO:1901564,GO:1901566,GO:1901576,GO:1905392,GO:1905613,GO:2000026	ko00908,map00908
CcGene_15289	Acyltransferase	Phospholipid diacylglycerol acyltransferase	sp|Q9FYC7|PDAT2_ARATH	KAK1383077.1	-	ko00561,map00561
CcGene_15512	Terpene Synthase, Glycosyltransferase	Glycosyltransferase family 20	sp|Q9LRA7|TPS9_ARATH	XP_017225501.1	GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005975,GO:0005984,GO:0005991,GO:0005992,GO:0006793,GO:0006796,GO:0006950,GO:0008150,GO:0008152,GO:0009058,GO:0009311,GO:0009312,GO:0009987,GO:0016051,GO:0016311,GO:0016787,GO:0016788,GO:0016791,GO:0033554,GO:0034637,GO:0042578,GO:0044237,GO:0044238,GO:0044249,GO:0044262,GO:0044424,GO:0044464,GO:0046351,GO:0050896,GO:0051716,GO:0070413,GO:0071704,GO:1901576	ko00500,ko01100,map00500,map01100
CcGene_15592	Cytochrome P450	Belongs to the cytochrome P450 family	-	XP_017234270.1	GO:0001101,GO:0003674,GO:0003824,GO:0004497,GO:0006066,GO:0006082,GO:0006629,GO:0006694,GO:0006714,GO:0006720,GO:0006721,GO:0006950,GO:0007275,GO:0008150,GO:0008152,GO:0008202,GO:0008300,GO:0008610,GO:0009056,GO:0009058,GO:0009314,GO:0009414,GO:0009415,GO:0009416,GO:0009628,GO:0009639,GO:0009687,GO:0009987,GO:0010035,GO:0010268,GO:0010295,GO:0010817,GO:0016042,GO:0016054,GO:0016107,GO:0016115,GO:0016125,GO:0016128,GO:0016129,GO:0016131,GO:0016132,GO:0016491,GO:0016705,GO:0016709,GO:0019752,GO:0032501,GO:0032502,GO:0032787,GO:0042221,GO:0042445,GO:0042446,GO:0042592,GO:0043288,GO:0043290,GO:0043436,GO:0044237,GO:0044238,GO:0044242,GO:0044248,GO:0044255,GO:0044281,GO:0044282,GO:0046164,GO:0046345,GO:0046395,GO:0048856,GO:0048878,GO:0050896,GO:0055088,GO:0055114,GO:0065007,GO:0065008,GO:0071704,GO:0072329,GO:1901360,GO:1901362,GO:1901575,GO:1901576,GO:1901615,GO:1901616,GO:1901617,GO:1901700,GO:1902644	ko00830,ko01100,map00830,map01100
CcGene_15609	Glycosyltransferase	Belongs to the UDP-glycosyltransferase family	sp|Q6VAA7|U88B1_STERE	KAK1366551.1	GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0008194,GO:0016740,GO:0016757,GO:0016758,GO:0035251,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044424,GO:0044444,GO:0044464,GO:0046527,GO:0080043,GO:0080044,GO:0080045,GO:0080046	-
CcGene_15627	Acyltransferase	O-acyltransferase WSD1-like	sp|Q5KS41|WSD11_ARATH	XP_063950134.1	-	-
CcGene_15665	Cytochrome P450	Belongs to the cytochrome P450 family	sp|O49396|C82C3_ARATH	XP_017244377.1	GO:0003674,GO:0003824,GO:0004497,GO:0005575,GO:0008150,GO:0008152,GO:0009058,GO:0009987,GO:0010035,GO:0010038,GO:0010039,GO:0016020,GO:0016491,GO:0016705,GO:0016709,GO:0019748,GO:0042221,GO:0044550,GO:0050896,GO:0051716,GO:0055114,GO:0070887,GO:0071241,GO:0071248,GO:0071281	ko00140,ko01100,ko04913,ko04917,ko04927,ko04934,map00140,map01100,map04913,map04917,map04927,map04934
CcGene_15933	Acyltransferase	Lecithin:cholesterol acyltransferase	sp|Q9FNA9|PDAT1_ARATH	XP_017240791.1	GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005773,GO:0005783,GO:0006629,GO:0006638,GO:0006639,GO:0006641,GO:0008080,GO:0008150,GO:0008152,GO:0008610,GO:0009058,GO:0009987,GO:0012505,GO:0016407,GO:0016410,GO:0016740,GO:0016746,GO:0016747,GO:0019432,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044237,GO:0044238,GO:0044249,GO:0044255,GO:0044424,GO:0044444,GO:0044464,GO:0045017,GO:0046027,GO:0046460,GO:0046463,GO:0046486,GO:0071704,GO:1901576	ko00561,map00561
CcGene_16124	Glycosyltransferase	Belongs to the glycosyltransferase 2 family	sp|Q9SRW9|CSLD5_ARATH	KAL1816534.1	GO:0000030,GO:0000278,GO:0000281,GO:0000910,GO:0000911,GO:0000919,GO:0001101,GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005794,GO:0006950,GO:0006970,GO:0007049,GO:0007275,GO:0008150,GO:0008152,GO:0009414,GO:0009415,GO:0009628,GO:0009651,GO:0009987,GO:0010035,GO:0012505,GO:0016043,GO:0016740,GO:0016757,GO:0016758,GO:0019187,GO:0022402,GO:0022607,GO:0032501,GO:0032502,GO:0032506,GO:0042221,GO:0042546,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044085,GO:0044424,GO:0044444,GO:0044464,GO:0046527,GO:0048367,GO:0048731,GO:0048856,GO:0050896,GO:0051301,GO:0051753,GO:0061640,GO:0070085,GO:0071554,GO:0071669,GO:0071840,GO:0097502,GO:1901700,GO:1902410,GO:1903047	ko00520,ko01100,map00520,map01100
CcGene_16458	Glycosyltransferase	Belongs to the UDP-glycosyltransferase family	sp|Q9SGA8|U83A1_ARATH	XP_017217432.1	-	-
CcGene_16535	Glycosyltransferase	Belongs to the glycosyltransferase 2 family. Plant cellulose synthase subfamily	sp|Q84JA6|CESA4_ARATH	KAK1355855.1	GO:0000271,GO:0000278,GO:0000281,GO:0000910,GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005794,GO:0005886,GO:0005975,GO:0005976,GO:0006073,GO:0006950,GO:0006952,GO:0007049,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009250,GO:0009605,GO:0009607,GO:0009617,GO:0009620,GO:0009832,GO:0009833,GO:0009834,GO:0009987,GO:0012505,GO:0016020,GO:0016051,GO:0016740,GO:0016757,GO:0016758,GO:0016759,GO:0022402,GO:0030243,GO:0030244,GO:0033692,GO:0034637,GO:0034645,GO:0042546,GO:0042742,GO:0043170,GO:0043207,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044042,GO:0044085,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044262,GO:0044264,GO:0044424,GO:0044444,GO:0044464,GO:0046527,GO:0050832,GO:0050896,GO:0051273,GO:0051274,GO:0051301,GO:0051704,GO:0051707,GO:0061640,GO:0071554,GO:0071669,GO:0071704,GO:0071840,GO:0071944,GO:0098542,GO:1901576,GO:1903047	-
CcGene_16733	Cytochrome P450	cytochrome P450	sp|W8JMU7|CYQ32_CATRO	XP_017248068.1	-	ko00140,ko00380,ko00590,ko00591,ko00830,ko00905,ko00943,ko00980,ko01100,ko01110,ko04212,ko04726,ko04750,ko04913,ko04917,ko04927,ko04934,ko05204,map00140,map00380,map00590,map00591,map00830,map00905,map00943,map00980,map01100,map01110,map04212,map04726,map04750,map04913,map04917,map04927,map04934,map05204
CcGene_16765	Terpene Synthase	Terpene synthase	sp|A0A348AUV6|TPS1B_CAMHI	KAK1381853.1	GO:0005575,GO:0016020	ko00909,map00909
CcGene_16881	Glycosyltransferase	BEST Arabidopsis thaliana protein match is glycosyltransferase family protein 2 (TAIR AT5G60700.1)	-	XP_017227715.1	-	-
CcGene_17079	Glycosyltransferase	Belongs to the glycosyltransferase 31 family	sp|Q94F27|B3GTB_ARATH	KAK1399473.1	GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005768,GO:0005794,GO:0005802,GO:0006029,GO:0006464,GO:0006486,GO:0006493,GO:0006807,GO:0008150,GO:0008152,GO:0008378,GO:0009058,GO:0009059,GO:0009100,GO:0009101,GO:0009987,GO:0010384,GO:0010404,GO:0010405,GO:0012505,GO:0016740,GO:0016757,GO:0016758,GO:0018193,GO:0018208,GO:0018258,GO:0019538,GO:0031410,GO:0031982,GO:0031984,GO:0034645,GO:0036211,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043412,GO:0043413,GO:0044036,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044422,GO:0044424,GO:0044431,GO:0044444,GO:0044446,GO:0044464,GO:0070085,GO:0071554,GO:0071704,GO:0097708,GO:0098791,GO:1901135,GO:1901137,GO:1901564,GO:1901566,GO:1901576,GO:1990714	-
CcGene_17224	Acyltransferase	Phospholipid diacylglycerol acyltransferase	sp|Q9FYC7|PDAT2_ARATH	KAL1811213.1	-	ko00561,map00561
CcGene_17276	Glycosyltransferase	Glycosyltransferase family 29 (sialyltransferase)	sp|Q8VZJ0|SIA1_ARATH	XP_074334633.1	GO:0000003,GO:0000139,GO:0000902,GO:0000904,GO:0003006,GO:0003674,GO:0003824,GO:0003836,GO:0005575,GO:0005576,GO:0005622,GO:0005623,GO:0005737,GO:0005768,GO:0005794,GO:0005795,GO:0005802,GO:0005975,GO:0006464,GO:0006486,GO:0006487,GO:0006807,GO:0008150,GO:0008152,GO:0008373,GO:0009058,GO:0009059,GO:0009100,GO:0009101,GO:0009311,GO:0009653,GO:0009826,GO:0009846,GO:0009856,GO:0009860,GO:0009932,GO:0009987,GO:0012505,GO:0016020,GO:0016043,GO:0016049,GO:0016740,GO:0016757,GO:0018193,GO:0018196,GO:0018279,GO:0019538,GO:0022414,GO:0030154,GO:0031090,GO:0031410,GO:0031982,GO:0031984,GO:0031985,GO:0032501,GO:0032502,GO:0032580,GO:0032989,GO:0034645,GO:0036211,GO:0040007,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043412,GO:0043413,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044422,GO:0044424,GO:0044431,GO:0044444,GO:0044446,GO:0044464,GO:0044706,GO:0048468,GO:0048588,GO:0048589,GO:0048856,GO:0048868,GO:0048869,GO:0051704,GO:0060560,GO:0070085,GO:0071704,GO:0071840,GO:0097503,GO:0097708,GO:0098588,GO:0098791,GO:1901135,GO:1901137,GO:1901564,GO:1901566,GO:1901576	-
CcGene_17316	Cytochrome P450	Belongs to the cytochrome P450 family	sp|Q9M066|C90C1_ARATH	KAL1815534.1	GO:0000003,GO:0000902,GO:0003006,GO:0003674,GO:0003824,GO:0004497,GO:0006629,GO:0006694,GO:0007275,GO:0008150,GO:0008152,GO:0008202,GO:0008610,GO:0009058,GO:0009653,GO:0009791,GO:0009826,GO:0009908,GO:0009965,GO:0009987,GO:0010016,GO:0010268,GO:0010817,GO:0016043,GO:0016049,GO:0016125,GO:0016128,GO:0016129,GO:0016131,GO:0016132,GO:0016491,GO:0016705,GO:0016709,GO:0022414,GO:0032501,GO:0032502,GO:0032989,GO:0040007,GO:0042445,GO:0042446,GO:0042592,GO:0042814,GO:0044238,GO:0048366,GO:0048367,GO:0048437,GO:0048438,GO:0048441,GO:0048443,GO:0048465,GO:0048466,GO:0048589,GO:0048608,GO:0048731,GO:0048827,GO:0048856,GO:0048869,GO:0048878,GO:0055088,GO:0055114,GO:0060560,GO:0061458,GO:0065007,GO:0065008,GO:0071704,GO:0071840,GO:0090567,GO:0099402,GO:1901360,GO:1901362,GO:1901576,GO:1901615,GO:1901617,GO:1905392	ko00905,ko01100,ko01110,map00905,map01100,map01110
CcGene_17338	Cytochrome P450	Cytochrome p450	sp|P98188|C94A2_VICSA	XP_074349894.1	-	ko00073,map00073
CcGene_17417	Glycosyltransferase	Belongs to the glycosyltransferase 1 family	sp|F4JLK2|SPSA4_ARATH	XP_017247284.1	GO:0003674,GO:0003824,GO:0005575,GO:0005623,GO:0005886,GO:0008194,GO:0016020,GO:0016740,GO:0016757,GO:0016758,GO:0035251,GO:0044464,GO:0046524,GO:0046527,GO:0071944	ko00500,ko01100,map00500,map01100
CcGene_17453	Glycosyltransferase	Belongs to the glycosyltransferase 8 family	sp|Q9FH36|GAUTC_ARATH	KAL1811504.1	GO:0000271,GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005794,GO:0005975,GO:0005976,GO:0008150,GO:0008152,GO:0008194,GO:0009058,GO:0009059,GO:0009987,GO:0010383,GO:0010410,GO:0010413,GO:0010417,GO:0012505,GO:0016043,GO:0016051,GO:0016740,GO:0016757,GO:0016758,GO:0033692,GO:0034637,GO:0034645,GO:0042546,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044036,GO:0044038,GO:0044085,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044262,GO:0044264,GO:0044424,GO:0044444,GO:0044464,GO:0045229,GO:0045491,GO:0045492,GO:0047262,GO:0070589,GO:0070592,GO:0071554,GO:0071555,GO:0071704,GO:0071840,GO:1901576	-
CcGene_18049	Glycosyltransferase	Belongs to the glycosyltransferase 2 family	sp|O80891|CSLB4_ARATH	XP_074365568.1	GO:0000271,GO:0000278,GO:0000281,GO:0000910,GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005794,GO:0005886,GO:0005975,GO:0005976,GO:0006073,GO:0007049,GO:0007275,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009250,GO:0009653,GO:0009832,GO:0009833,GO:0009888,GO:0009987,GO:0010015,GO:0010053,GO:0010054,GO:0012505,GO:0016020,GO:0016049,GO:0016051,GO:0016740,GO:0016757,GO:0016758,GO:0016759,GO:0021700,GO:0022402,GO:0022622,GO:0030154,GO:0030243,GO:0030244,GO:0032501,GO:0032502,GO:0033692,GO:0034637,GO:0034645,GO:0040007,GO:0042546,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044042,GO:0044085,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044262,GO:0044264,GO:0044424,GO:0044444,GO:0044464,GO:0046527,GO:0048364,GO:0048468,GO:0048469,GO:0048588,GO:0048589,GO:0048731,GO:0048764,GO:0048765,GO:0048767,GO:0048856,GO:0048869,GO:0051273,GO:0051274,GO:0051301,GO:0060560,GO:0061640,GO:0071554,GO:0071669,GO:0071695,GO:0071704,GO:0071840,GO:0071944,GO:0080147,GO:0090558,GO:0090627,GO:0099402,GO:1901576,GO:1903047,GO:1905392	-
CcGene_18062	Glycosyltransferase	Belongs to the glycosyltransferase 8 family	sp|Q9SKT6|GAUTA_ARATH	XP_017254010.1	GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005768,GO:0005794,GO:0005802,GO:0008194,GO:0012505,GO:0016740,GO:0016757,GO:0016758,GO:0031410,GO:0031982,GO:0031984,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044422,GO:0044424,GO:0044431,GO:0044444,GO:0044446,GO:0044464,GO:0047262,GO:0097708,GO:0098791	ko00520,map00520
CcGene_18133	Acyltransferase	Anthocyanin acyltransferase	sp|P0DXH5|L1AT_MELAZ	XP_017217409.1	-	-
CcGene_18184	Cytochrome P450	Belongs to the cytochrome P450 family	sp|H2DH20|C7D13_PANGI	XP_074383245.1	-	ko00140,ko00590,ko00591,ko00909,ko01100,ko01110,ko04212,ko04726,ko04750,ko04913,ko04917,ko04927,ko04934,map00140,map00590,map00591,map00909,map01100,map01110,map04212,map04726,map04750,map04913,map04917,map04927,map04934
CcGene_18196	Cytochrome P450	-	sp|Q8RWY7|CYP95_ARATH	WOG89451.1	-	-
CcGene_18289	Cytochrome P450	cytochrome P450	sp|Q2QYH7|C14C2_ORYSJ	KAL1827572.1	-	-
CcGene_18323	Acyltransferase	O-acyltransferase (WSD1-like)	sp|Q9M3B3|WSD4_ARATH	XP_017241364.1	-	-
CcGene_18409	Glycosyltransferase	Belongs to the glycosyltransferase 1 family. Bacterial plant glycogen synthase subfamily	sp|Q9FNF2|SSY1_ARATH	XP_074367932.1	GO:0000271,GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005975,GO:0005976,GO:0005982,GO:0006073,GO:0008150,GO:0008152,GO:0009011,GO:0009058,GO:0009059,GO:0009250,GO:0009501,GO:0009507,GO:0009532,GO:0009536,GO:0009570,GO:0009987,GO:0010021,GO:0016051,GO:0016740,GO:0016757,GO:0016758,GO:0019252,GO:0033692,GO:0034637,GO:0034645,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044042,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044262,GO:0044264,GO:0044422,GO:0044424,GO:0044434,GO:0044435,GO:0044444,GO:0044446,GO:0044464,GO:0046527,GO:0071704,GO:1901135,GO:1901137,GO:1901576,GO:2000896	ko00500,ko01100,ko01110,ko02026,map00500,map01100,map01110,map02026
CcGene_18427	Cytochrome P450	Belongs to the cytochrome P450 family	-	XP_017245399.1	-	ko00140,ko00905,ko00943,ko01100,ko01110,ko04913,ko04917,ko04927,ko04934,map00140,map00905,map00943,map01100,map01110,map04913,map04917,map04927,map04934
CcGene_18575	Cytochrome P450	Belongs to the cytochrome P450 family	sp|H2DH20|C7D13_PANGI	KAL1807641.1	-	ko00140,ko00590,ko00591,ko00909,ko01100,ko01110,ko04212,ko04726,ko04750,ko04913,ko04917,ko04927,ko04934,map00140,map00590,map00591,map00909,map01100,map01110,map04212,map04726,map04750,map04913,map04917,map04927,map04934
CcGene_18991	Acyltransferase	MBOAT, membrane-bound O-acyltransferase family	sp|A0A161IUT7|DGAT1_CORAE	XP_017237802.1	GO:0000003,GO:0001101,GO:0003006,GO:0003674,GO:0003824,GO:0004144,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005783,GO:0005789,GO:0005811,GO:0005975,GO:0006629,GO:0006638,GO:0006639,GO:0006641,GO:0006950,GO:0006970,GO:0007275,GO:0007568,GO:0008150,GO:0008152,GO:0008374,GO:0008610,GO:0009058,GO:0009266,GO:0009409,GO:0009507,GO:0009526,GO:0009536,GO:0009628,GO:0009651,GO:0009719,GO:0009725,GO:0009737,GO:0009743,GO:0009746,GO:0009749,GO:0009790,GO:0009791,GO:0009793,GO:0009941,GO:0009987,GO:0010029,GO:0010030,GO:0010033,GO:0010154,GO:0012505,GO:0016020,GO:0016411,GO:0016740,GO:0016746,GO:0016747,GO:0019432,GO:0022414,GO:0031967,GO:0031975,GO:0031984,GO:0032501,GO:0032502,GO:0033993,GO:0034284,GO:0042175,GO:0042221,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0044237,GO:0044238,GO:0044249,GO:0044255,GO:0044422,GO:0044424,GO:0044425,GO:0044432,GO:0044434,GO:0044435,GO:0044444,GO:0044446,GO:0044464,GO:0045017,GO:0045995,GO:0046460,GO:0046463,GO:0046486,GO:0048316,GO:0048518,GO:0048580,GO:0048582,GO:0048608,GO:0048731,GO:0048856,GO:0050789,GO:0050793,GO:0050896,GO:0051094,GO:0051239,GO:0051240,GO:0061458,GO:0065007,GO:0071704,GO:0097305,GO:0098827,GO:1900140,GO:1901576,GO:1901700,GO:2000026	ko00561,ko00830,ko01100,ko04975,map00561,map00830,map01100,map04975
CcGene_19130	Cytochrome P450	Cytochrome p450	sp|A0A517FNC6|C9B51_TRIFG	KAL1815486.1	GO:0000902,GO:0001101,GO:0003674,GO:0003824,GO:0004497,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005783,GO:0006629,GO:0006694,GO:0007154,GO:0007165,GO:0007275,GO:0008150,GO:0008152,GO:0008202,GO:0008395,GO:0008610,GO:0009058,GO:0009653,GO:0009719,GO:0009725,GO:0009741,GO:0009753,GO:0009755,GO:0009826,GO:0009867,GO:0009965,GO:0009987,GO:0010012,GO:0010016,GO:0010033,GO:0010268,GO:0010358,GO:0010817,GO:0012505,GO:0014070,GO:0016043,GO:0016049,GO:0016125,GO:0016128,GO:0016129,GO:0016131,GO:0016132,GO:0016491,GO:0023052,GO:0032501,GO:0032502,GO:0032870,GO:0032989,GO:0033993,GO:0040007,GO:0042221,GO:0042445,GO:0042446,GO:0042592,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044238,GO:0044424,GO:0044444,GO:0044464,GO:0048366,GO:0048367,GO:0048532,GO:0048589,GO:0048731,GO:0048827,GO:0048856,GO:0048869,GO:0048878,GO:0050789,GO:0050794,GO:0050896,GO:0051716,GO:0055088,GO:0055114,GO:0060560,GO:0065007,GO:0065008,GO:0070887,GO:0071229,GO:0071310,GO:0071395,GO:0071495,GO:0071704,GO:0071840,GO:0080132,GO:0099402,GO:1901360,GO:1901362,GO:1901576,GO:1901615,GO:1901617,GO:1901700,GO:1901701,GO:1905392	ko00905,ko01100,ko01110,map00905,map01100,map01110
CcGene_19146	Glycosyltransferase	UDP-glycosyltransferase 76E2-like	sp|U3UA11|UGT7_CATRO	KAL1817233.1	GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0008194,GO:0016740,GO:0016757,GO:0016758,GO:0035251,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044424,GO:0044464,GO:0046527,GO:0047254,GO:0080043,GO:0080044	ko00140,ko00380,ko00402,ko00830,ko00908,ko00980,ko01100,ko01110,ko04913,ko05204,map00140,map00380,map00402,map00830,map00908,map00980,map01100,map01110,map04913,map05204
CcGene_19347	Cytochrome P450	Belongs to the cytochrome P450 family	sp|Q9LJK2|ABAH4_ARATH	XP_017234116.1	GO:0003674,GO:0003824,GO:0004497,GO:0006629,GO:0006694,GO:0007275,GO:0008150,GO:0008152,GO:0008202,GO:0008610,GO:0009058,GO:0010268,GO:0010295,GO:0010817,GO:0016125,GO:0016128,GO:0016129,GO:0016131,GO:0016132,GO:0016491,GO:0016705,GO:0016709,GO:0032501,GO:0032502,GO:0042445,GO:0042446,GO:0042592,GO:0044238,GO:0048856,GO:0048878,GO:0055088,GO:0055114,GO:0065007,GO:0065008,GO:0071704,GO:1901360,GO:1901362,GO:1901576,GO:1901615,GO:1901617	ko00906,map00906
CcGene_19416	Glycosyltransferase	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit	sp|Q93ZY3|STT3A_ARATH	KAL1804855.1	GO:0003674,GO:0003824,GO:0004576,GO:0004579,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005783,GO:0005789,GO:0005886,GO:0006464,GO:0006486,GO:0006487,GO:0006807,GO:0006950,GO:0006970,GO:0008150,GO:0008152,GO:0008250,GO:0009058,GO:0009059,GO:0009100,GO:0009101,GO:0009628,GO:0009651,GO:0009987,GO:0012505,GO:0016020,GO:0016740,GO:0016757,GO:0016758,GO:0018193,GO:0018196,GO:0018279,GO:0019538,GO:0031984,GO:0032991,GO:0034645,GO:0036211,GO:0042175,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043412,GO:0043413,GO:0043687,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044422,GO:0044424,GO:0044425,GO:0044432,GO:0044444,GO:0044446,GO:0044464,GO:0047484,GO:0048583,GO:0050789,GO:0050896,GO:0065007,GO:0070085,GO:0071704,GO:0071944,GO:0080134,GO:0098796,GO:0098827,GO:1901135,GO:1901137,GO:1901564,GO:1901566,GO:1901576,GO:1902494,GO:1990234	ko00510,ko00513,ko01100,ko04141,map00510,map00513,map01100,map04141
CcGene_19472	Terpene Synthase, Glycosyltransferase	Glycosyltransferase family 20	sp|Q9SYM4|TPS1_ARATH	XP_017235806.2	GO:0000003,GO:0003006,GO:0003674,GO:0003824,GO:0003825,GO:0005975,GO:0005984,GO:0005991,GO:0005992,GO:0006793,GO:0006796,GO:0006950,GO:0007154,GO:0007165,GO:0007275,GO:0008150,GO:0008152,GO:0008194,GO:0009058,GO:0009311,GO:0009312,GO:0009743,GO:0009756,GO:0009790,GO:0009791,GO:0009793,GO:0009832,GO:0009987,GO:0010033,GO:0010154,GO:0010182,GO:0016051,GO:0016311,GO:0016740,GO:0016757,GO:0016758,GO:0016787,GO:0016788,GO:0016791,GO:0022414,GO:0023052,GO:0032501,GO:0032502,GO:0033554,GO:0034637,GO:0035251,GO:0042221,GO:0042546,GO:0042578,GO:0044085,GO:0044237,GO:0044238,GO:0044249,GO:0044262,GO:0046351,GO:0046527,GO:0048316,GO:0048608,GO:0048731,GO:0048856,GO:0050789,GO:0050794,GO:0050896,GO:0051301,GO:0051716,GO:0061458,GO:0065007,GO:0070413,GO:0070887,GO:0071310,GO:0071322,GO:0071554,GO:0071669,GO:0071704,GO:0071840,GO:1901576,GO:1901700,GO:1901701	ko00500,ko01100,map00500,map01100
CcGene_19529	Cytochrome P450	Belongs to the cytochrome P450 family	sp|H2DH21|C7A29_PANGI	KAK1404868.1	-	ko00908,ko01100,ko01110,map00908,map01100,map01110
CcGene_19556	Cytochrome P450	cytochrome P450	sp|Q2QYH7|C14C2_ORYSJ	KAK1375677.1	-	-
CcGene_19619	Glycosyltransferase	Belongs to the glycosyltransferase 8 family	sp|Q9M8J2|GATL4_ARATH	KAK1387665.1	-	-
CcGene_19765	Cytochrome P450	Belongs to the cytochrome P450 family	sp|Q7XU38|C87A3_ORYSJ	KAK1364284.1	GO:0006629,GO:0006694,GO:0008150,GO:0008152,GO:0008202,GO:0008610,GO:0009058,GO:0010268,GO:0010817,GO:0016125,GO:0016128,GO:0016129,GO:0016131,GO:0016132,GO:0042445,GO:0042446,GO:0042592,GO:0044238,GO:0048878,GO:0055088,GO:0065007,GO:0065008,GO:0071704,GO:1901360,GO:1901362,GO:1901576,GO:1901615,GO:1901617	ko00830,ko01100,map00830,map01100
