id	gene_id	contig	start	end	strand	metabolite_category	description	gos	kegg_pathway
1996	CcGene_19158	CcContig_126767	17375	29584	-	Terpenoid Biosynthesis	KAL1824215.1hypothetical protein ACET3Z_010993 [Daucus carota]	GO:0004506, GO:0005525, GO:0005783, GO:0016020, GO:0016126, GO:0050660	-
1997	CcGene_19197	CcContig_002927	35672	36574	+	Terpenoid Biosynthesis	9855.1heterodimeric geranylgeranyl pyrophosphate synthase small subunit, chloroplastic [Daucus carota subsp. sativus]	GO:0004659	-
1998	CcGene_19201	CcContig_007995	3028	3593	-	Secondary Metabolite	Cytochrome P450 superfamily;Cytochrome P450 superfamily		-
1999	CcGene_19245	CcContig_048198	17869	21847	-	Lipid & Polyketide Metabolism	4057.1enoyl-[acyl-carrier-protein] reductase, mitochondrial isoform X1 [Daucus carota subsp. sativus]	GO:0005739, GO:0006631, GO:0019166	-
2000	CcGene_19270	CcContig_124813	21547	27632	+	Terpenoid Biosynthesis	9594.1galactokinase [Daucus carota subsp. sativus]	GO:0004335, GO:0005524, GO:0005829, GO:0006012, GO:0046835	-
2001	CcGene_19302	CcContig_123007	37145	45456	+	Secondary Metabolite	2258.1protein PAT1 homolog [Daucus carota subsp. sativus]	GO:0000290, GO:0000932, GO:0003723, GO:0033962	-
2002	CcGene_19303	CcContig_123007	9300	10967	-	Secondary Metabolite	KAL1816745.1hypothetical protein ACET3Z_019319 [Daucus carota]	GO:0004497, GO:0005506, GO:0016705, GO:0020037	-
2003	CcGene_19304	CcContig_123007	15538	17094	-	Secondary Metabolite	1741.1cytochrome P450 94A2 [Daucus carota subsp. sativus]	GO:0004497, GO:0005506, GO:0016705, GO:0020037	-
2004	CcGene_19352	CcContig_046806	67099	68269	+	Secondary Metabolite	WOH10522.1hypothetical protein DCAR_0729991 [Daucus carota subsp. sativus]	GO:0005886, GO:0015629, GO:0051015, GO:0051017	-
2005	CcGene_19395	CcContig_050503	13846	16917	+	Terpenoid Biosynthesis	Squalene monooxygenase-like	GO:0003682, GO:0001101, GO:0005575, GO:0005622, GO:0005623, GO:0005737, GO:0005783, GO:0006629, GO:0006694, GO:0006950, GO:0008150, GO:0008152, GO:0008202, GO:0008610, GO:0009058, GO:0009414, GO:0009415, GO:0009628, GO:0010035, GO:0012505, GO:0016125, GO:0016126, GO:0042221, GO:0043226, GO:0043227, GO:0043229, GO:0043231, GO:0044238, GO:0044424, GO:0044444, GO:0044464, GO:0050896, GO:0071704, GO:1901360, GO:1901362, GO:1901576, GO:1901615, GO:1901617, GO:1901700	ko00100,ko00909,ko01100,ko01110,ko01130,map00100,map00909,map01100,map01110,map01130
2006	CcGene_19429	CcContig_117431	9438	13107	+	Secondary Metabolite	transposition, RNA-mediated	GO:0000160, GO:0003677, GO:0003700, GO:0009736	-
2007	CcGene_19463	CcContig_115629	32454	34006	-	Terpenoid Biosynthesis	4783.1calmodulin [Salmonella enterica]	GO:0005509	-
2008	CcGene_19547	CcContig_097010	76211	79308	-	Secondary Metabolite	KAL1809944.1hypothetical protein ACET3Z_026934 [Daucus carota]		-
2009	CcGene_19573	CcContig_138179	20642	23435	+	Secondary Metabolite	1707.1uncharacterized protein LOC108206048 [Daucus carota subsp. sativus]		-
2010	CcGene_19627	CcContig_117170	2153	16154	-	Terpenoid Biosynthesis	6651.1cycloartenol Synthase [Daucus carota subsp. sativus]	GO:0005811, GO:0016104, GO:0016866	-
2011	CcGene_19680	CcContig_050540	27681	29535	+	Secondary Metabolite	0500.2xanthotoxin 5-hydroxylase CYP82C2 [Daucus carota subsp. sativus]	GO:0004497, GO:0005506, GO:0016705, GO:0020037	-
2012	CcGene_19683	CcContig_050540	36187	36541	+	Secondary Metabolite	0500.2xanthotoxin 5-hydroxylase CYP82C2 [Daucus carota subsp. sativus]	GO:0004497, GO:0005506, GO:0016705, GO:0020037	-
2013	CcGene_19691	CcContig_050376	24314	26289	-	Secondary Metabolite	KAL1833086.1hypothetical protein ACET3Z_002737 [Daucus carota]	GO:0004497, GO:0005506, GO:0016705, GO:0020037	-
2014	CcGene_19720	CcContig_144472	48854	56220	-	Terpenoid Biosynthesis	5009.1squalene synthase 2 [Daucus carota subsp. sativus]	GO:0004311, GO:0005789, GO:0008610, GO:0045338, GO:0051996	-
2015	CcGene_19747	CcContig_143563	20230	22297	+	Lipid & Polyketide Metabolism	WOH16128.1hypothetical protein DCAR_0935677 [Daucus carota subsp. sativus]	GO:0006633, GO:0016020, GO:0016747	-
2016	CcGene_19764	CcContig_015072	1471	4894	-	Secondary Metabolite	WOG92877.1hypothetical protein DCAR_0312154 [Daucus carota subsp. sativus]	GO:0005524, GO:0016020, GO:0016887, GO:0055085, GO:0140359	-
2017	CcGene_19788	CcContig_002593	6174	11116	+	Terpenoid Biosynthesis	8865.1mitogen-activated protein kinase kinase kinase 3 isoform X1 [Daucus carota subsp. sativus]	GO:0004672, GO:0005524, GO:0006468	-
2018	CcGene_19807	CcContig_113588	19312	21635	-	Terpenoid Biosynthesis	KAK1393329.1myrcene synthase, chloroplastic-like [Heracleum sosnowskyi]	GO:0000287, GO:0010333, GO:0016102	-
2019	CcGene_19810	CcContig_135446	12099	15218	-	Flavonoids & Phenylpropanoids	PGR5-like protein		-
2020	CcGene_19909	CcContig_128829	96	290	-	Secondary Metabolite	Cytochrome P450 superfamily		-
2021	CcGene_19916	CcContig_109567	43533	45985	-	Flavonoids & Phenylpropanoids	1671.16,7,8-trihydroxycoumarin synthase-like [Daucus carota subsp. sativus]	GO:0004497, GO:0005506, GO:0016705, GO:0020037	-
2022	CcGene_19917	CcContig_104277	31836	36073	-	Secondary Metabolite	KAL1815486.1hypothetical protein ACET3Z_018060 [Daucus carota]	GO:0004497, GO:0005506, GO:0016125, GO:0016705, GO:0020037	-
2023	CcGene_19935	CcContig_085081	65784	67560	-	Secondary Metabolite	KAK1391940.1Cytochrome P450, family 78, subfamily A, polypeptide 7 [Heracleum sosnowskyi]	GO:0004497, GO:0005506, GO:0016705, GO:0020037	-
2024	CcGene_19972	CcContig_112969	108968	113315	+	Terpenoid Biosynthesis	KAL1811650.1hypothetical protein ACET3Z_021715 [Daucus carota]	GO:0009570, GO:0010436, GO:0016121	-
2025	CcGene_19979	CcContig_112969	96735	105959	+	Terpenoid Biosynthesis	KAL1811652.1hypothetical protein ACET3Z_021717 [Daucus carota]	GO:0009570, GO:0010436, GO:0016121	-
2026	CcGene_20079	CcContig_136367	56347	57368	-	Secondary Metabolite	KAL8116408.1hypothetical protein AgCh_022778 [Apium graveolens]	GO:0004497, GO:0005506, GO:0016705, GO:0020037	-
2027	CcGene_20107	CcContig_120326	21913	24480	+	Secondary Metabolite	glycolipid biosynthetic process	GO:0008375, GO:0000030, GO:0003674, GO:0003824, GO:0005575, GO:0005622, GO:0005623, GO:0005737, GO:0006082, GO:0006629, GO:0006643, GO:0006664, GO:0006790, GO:0006950, GO:0007154, GO:0008150, GO:0008152, GO:0008194, GO:0008610, GO:0009058, GO:0009247, GO:0009267, GO:0009507, GO:0009526, GO:0009536, GO:0009605, GO:0009941, GO:0009987, GO:0009991, GO:0016036, GO:0016740, GO:0016757, GO:0016758, GO:0031667, GO:0031668, GO:0031669, GO:0031967, GO:0031975, GO:0033554, GO:0042594, GO:0043226, GO:0043227, GO:0043229, GO:0043231, GO:0043436, GO:0044237, GO:0044238, GO:0044249, GO:0044255, GO:0044272, GO:0044281, GO:0044422, GO:0044424, GO:0044434, GO:0044435, GO:0044444, GO:0044446, GO:0044464, GO:0046467, GO:0046505, GO:0046506, GO:0050896, GO:0051716, GO:0070085, GO:0071496, GO:0071704, GO:0097502, GO:1901135, GO:1901137, GO:1901576, GO:1903509	ko00561,ko01100,map00561,map01100
2028	CcGene_20153	CcContig_046799	73365	75035	+	Secondary Metabolite	8478.1premnaspirodiene oxygenase [Daucus carota subsp. sativus]	GO:0004497, GO:0005506, GO:0016705, GO:0020037	-
2029	CcGene_20157	CcContig_046799	68537	72628	+	Secondary Metabolite	8318.1premnaspirodiene oxygenase isoform X1 [Daucus carota subsp. sativus]	GO:0004497, GO:0005506, GO:0016705, GO:0020037	-
2030	CcGene_20182	CcContig_009928	1501	2219	-	Terpenoid Biosynthesis	KAK1369508.1Squalene synthase [Heracleum sosnowskyi]	GO:0004311, GO:0005789, GO:0045338, GO:0051996	-
2031	CcGene_20200	CcContig_048980	7016	11399	+	Lipid & Polyketide Metabolism	KAL1834028.1hypothetical protein ACET3Z_003679 [Daucus carota]	GO:0004315, GO:0005739, GO:0006633	-
2032	CcGene_20219	CcContig_122958	6731	16480	+	Terpenoid Biosynthesis	KAL1812635.1hypothetical protein ACET3Z_022700 [Daucus carota]	GO:0005096	-
2033	CcGene_20291	CcContig_123553	9815	15416	+	Secondary Metabolite	KAL1825688.1hypothetical protein ACET3Z_012466 [Daucus carota]	GO:0004497, GO:0005506, GO:0016705, GO:0020037	-
2034	CcGene_20425	CcContig_128711	5103	6512	-	Secondary Metabolite	0836.1beta-amyrin 6-beta-monooxygenase-like [Daucus carota subsp. sativus]	GO:0004497, GO:0005506, GO:0016125, GO:0016705, GO:0020037	-
2035	CcGene_20435	CcContig_058863	21259	27422	-	Terpenoid Biosynthesis	KAK1375858.1Homogentisate geranylgeranyltransferase [Heracleum sosnowskyi]	GO:0004659, GO:0016020	-
2036	CcGene_20493	CcContig_106170	26105	28098	-	Flavonoids & Phenylpropanoids	8928.1trans-cinnamate:CoA ligase, peroxisomal-like [Apium graveolens]	GO:0106286	-
2037	CcGene_20532	CcContig_007725	555	3032	-	Secondary Metabolite	DnaJ molecular chaperone homology domain	GO:0005515, GO:0005770, GO:0006623, GO:0009267, GO:0016236, GO:0030897, GO:0034058	ko04141,map04141
2038	CcGene_20569	CcContig_094123	5080	8894	+	Secondary Metabolite	4710.1mitogen-activated protein kinase homolog MMK2 [Daucus carota subsp. sativus]	GO:0004707, GO:0005524, GO:0005634, GO:0005737, GO:0006468, GO:0035556	-
2039	CcGene_20589	CcContig_001837	32349	33302	-	Secondary Metabolite	Aspartic proteinase-like protein 2 isoform X1	GO:0004497, GO:0005506, GO:0016705, GO:0020037, GO:0003674, GO:0003824, GO:0004175, GO:0004190, GO:0005575, GO:0005623, GO:0005886, GO:0006508, GO:0006807, GO:0008150, GO:0008152, GO:0008233, GO:0009056, GO:0009057, GO:0016020, GO:0016787, GO:0019538, GO:0030163, GO:0031224, GO:0031225, GO:0031226, GO:0043170, GO:0044238, GO:0044425, GO:0044459, GO:0044464, GO:0046658, GO:0070001, GO:0070011, GO:0071704, GO:0071944, GO:0140096, GO:1901564, GO:1901565, GO:1901575	-
2040	CcGene_20598	CcContig_129034	10840	14915	+	Secondary Metabolite	KAK1365031.1PHD finger protein ALFIN-LIKE 1-like [Heracleum sosnowskyi]	GO:0000976, GO:0003712, GO:0005634, GO:0006355, GO:0042393	-
2041	CcGene_20622	CcContig_059550	12090	13824	+	Lipid & Polyketide Metabolism	KAK1381486.12-methylene-furan-3-one reductase [Heracleum sosnowskyi]	GO:0008270, GO:0016628	-
2042	CcGene_20641	CcContig_059663	56521	58993	+	Lipid & Polyketide Metabolism	KAK1375269.1Alcohol dehydrogenase superfamily [Heracleum sosnowskyi]	GO:0016651, GO:0070402	-
2043	CcGene_20696	CcContig_073280	14291	16086	-	Terpenoid Biosynthesis	KAL1815595.1hypothetical protein ACET3Z_018169 [Daucus carota]	GO:0005811, GO:0016104, GO:0042300	-
2044	CcGene_20697	CcContig_073280	10716	13392	-	Terpenoid Biosynthesis	2941.1beta-amyrin synthase 2 [Daucus carota subsp. sativus]	GO:0005811, GO:0016104, GO:0042300	-
2045	CcGene_20835	CcContig_137564	129652	132170	-	Secondary Metabolite	1286.1cytochrome P450 87A3 [Daucus carota subsp. sativus]	GO:0004497, GO:0005506, GO:0007275, GO:0010268, GO:0016125, GO:0016132, GO:0016705, GO:0020037	-
2046	CcGene_20892	CcContig_100040	6936	10717	+	Lipid & Polyketide Metabolism	3355.1probable mannitol dehydrogenase [Daucus carota subsp. sativus]	GO:0008270, GO:0009809, GO:0045551	-
2047	CcGene_20924	CcContig_106253	8043	8475	-	Secondary Metabolite	cytochrome P450	GO:0005672, GO:0006367	-
2048	CcGene_21025	CcContig_109397	8514	9737	-	Terpenoid Biosynthesis	(-)-germacrene D synthase-like	GO:0000712, GO:0003674, GO:0003824, GO:0006629, GO:0006644, GO:0006720, GO:0006721, GO:0006793, GO:0006796, GO:0008150, GO:0008152, GO:0008299, GO:0008610, GO:0009058, GO:0009987, GO:0010333, GO:0010334, GO:0016829, GO:0016835, GO:0016838, GO:0019637, GO:0042214, GO:0044237, GO:0044238, GO:0044249, GO:0044255, GO:0045338, GO:0046246, GO:0051761, GO:0051762, GO:0071704, GO:1901576	ko00909,map00909
2049	CcGene_21031	CcContig_004614	10284	17682	+	Flavonoids & Phenylpropanoids	KAL8096952.1hypothetical protein AgCh_030146 [Apium graveolens]	GO:0009807, GO:0016491	-
2050	CcGene_21039	CcContig_033703	15907	18942	-	Secondary Metabolite	WOH10930.1hypothetical protein DCAR_0830407 [Daucus carota subsp. sativus]		-
2051	CcGene_21057	CcContig_047121	104907	107710	+	Secondary Metabolite	1627.1O-fucosyltransferase 19-like [Daucus carota subsp. sativus]	GO:0005737	-
2052	CcGene_21089	CcContig_099771	27447	30288	-	Secondary Metabolite	Belongs to the cytochrome P450 family	GO:0005634	ko00130,ko00360,ko00940,ko00941,ko00945,ko01100,ko01110,ko01220,map00130,map00360,map00940,map00941,map00945,map01100,map01110,map01220
2053	CcGene_21194	CcContig_110957	57907	62116	+	Terpenoid Biosynthesis	3228.1phosphomevalonate kinase, peroxisomal [Daucus carota subsp. sativus]	GO:0004631, GO:0005524, GO:0005777, GO:0019287	-
2054	CcGene_21200	CcContig_110957	283462	284840	-	Secondary Metabolite	5274.1protein ROH1A [Daucus carota subsp. sativus]	GO:0016020	-
2055	CcGene_21222	CcContig_090483	3822	4925	+	Secondary Metabolite	KAK1364122.1hypothetical protein POM88_039683 [Heracleum sosnowskyi]	GO:0010005, GO:0043622	-
2056	CcGene_21245	CcContig_051330	18473	20687	-	Secondary Metabolite	3668.1cytokinin dehydrogenase 6 isoform X1 [Daucus carota subsp. sativus]	GO:0009690, GO:0019139, GO:0071949	-
2057	CcGene_21390	CcContig_105233	2045	3519	-	Lipid & Polyketide Metabolism	KAL8158066.1hypothetical protein AgCh_002685 [Apium graveolens]	GO:0000036, GO:0006633, GO:0031177	-
2058	CcGene_21474	CcContig_118921	5672	11366	+	Terpenoid Biosynthesis	Glycosyl hydrolases family 28	GO:0005811, GO:0016104, GO:0042300, GO:0003674, GO:0003824, GO:0004553, GO:0004650, GO:0005575, GO:0005618, GO:0005623, GO:0008150, GO:0009664, GO:0009825, GO:0009827, GO:0009831, GO:0009987, GO:0016043, GO:0016049, GO:0016787, GO:0016798, GO:0030312, GO:0040007, GO:0042545, GO:0042547, GO:0044464, GO:0045229, GO:0071554, GO:0071555, GO:0071669, GO:0071840, GO:0071944	ko00040,ko01100,map00040,map01100
2059	CcGene_21583	CcContig_107330	54322	57882	-	Secondary Metabolite	KAL1825420.1hypothetical protein ACET3Z_012198 [Daucus carota]	GO:0005783, GO:0009850, GO:0010179	-
2060	CcGene_21601	CcContig_123309	19701	20573	-	Secondary Metabolite	KAK1390332.1Peroxiredoxin [Heracleum sosnowskyi]	GO:0005739, GO:0005829, GO:0045454, GO:0051920, GO:0098869	-
2061	CcGene_21680	CcContig_111698	16301	27219	-	Secondary Metabolite	Belongs to the cytochrome P450 family	GO:0000287, GO:0005524, GO:0005802, GO:0005886, GO:0045332, GO:0048194, GO:0140326, GO:0003674, GO:0003824, GO:0004497, GO:0005575, GO:0005622, GO:0005623, GO:0005737, GO:0006629, GO:0006720, GO:0006721, GO:0008150, GO:0008152, GO:0008299, GO:0008610, GO:0009058, GO:0009507, GO:0009526, GO:0009536, GO:0009941, GO:0009987, GO:0010291, GO:0016108, GO:0016109, GO:0016114, GO:0016116, GO:0016117, GO:0016122, GO:0016123, GO:0016491, GO:0031967, GO:0031975, GO:0042440, GO:0043226, GO:0043227, GO:0043229, GO:0043231, GO:0044237, GO:0044238, GO:0044249, GO:0044255, GO:0044422, GO:0044424, GO:0044434, GO:0044435, GO:0044444, GO:0044446, GO:0044464, GO:0046148, GO:0055114, GO:0071704, GO:1901576	ko00906,ko01100,ko01110,map00906,map01100,map01110
2062	CcGene_21681	CcContig_111698	30855	34051	-	Flavonoids & Phenylpropanoids	7136.1exocyst complex component EXO84A [Daucus carota subsp. sativus]	GO:0000145, GO:0006887, GO:0006893, GO:0008104	-
2063	CcGene_21707	CcContig_144822	10792	12489	+	Secondary Metabolite	protease	GO:0004497, GO:0005506, GO:0016705, GO:0020037, GO:0003674, GO:0003824, GO:0004175, GO:0004197, GO:0005575, GO:0005622, GO:0005623, GO:0005634, GO:0006464, GO:0006508, GO:0006807, GO:0008150, GO:0008152, GO:0008233, GO:0008234, GO:0009909, GO:0009911, GO:0009987, GO:0016787, GO:0016926, GO:0016929, GO:0018193, GO:0018205, GO:0019538, GO:0019783, GO:0036211, GO:0043170, GO:0043226, GO:0043227, GO:0043229, GO:0043231, GO:0043412, GO:0044237, GO:0044238, GO:0044260, GO:0044267, GO:0044424, GO:0044464, GO:0048518, GO:0048580, GO:0048582, GO:0048831, GO:0050789, GO:0050793, GO:0051094, GO:0051239, GO:0051240, GO:0065007, GO:0070011, GO:0070137, GO:0070139, GO:0070646, GO:0070647, GO:0071704, GO:0140096, GO:1901564, GO:2000026, GO:2000241, GO:2000243	-
2064	CcGene_21788	CcContig_135365	2943	4970	+	Secondary Metabolite	KAL8116408.1hypothetical protein AgCh_022778 [Apium graveolens]	GO:0004497, GO:0005506, GO:0016705, GO:0020037	-
2065	CcGene_21891	CcContig_128426	43030	44969	+	Secondary Metabolite	Cytochrome P450 superfamily		-
2066	CcGene_21956	CcContig_144738	90	1303	+	Secondary Metabolite	KAL1827358.1hypothetical protein ACET3Z_005770 [Daucus carota]		-
2067	CcGene_22063	CcContig_049905	4037	8872	+	Secondary Metabolite	KAL1814020.1hypothetical protein ACET3Z_024085 [Daucus carota]		-
2068	CcGene_22112	CcContig_127914	61713	64448	-	Secondary Metabolite	9869.1cytochrome P450 72A15 [Daucus carota subsp. sativus]	GO:0004497, GO:0005506, GO:0016705, GO:0020037	-
2069	CcGene_22115	CcContig_127914	71380	72962	+	Secondary Metabolite	KAK1372090.1Geraniol 10-hydroxylase [Heracleum sosnowskyi]	GO:0004497, GO:0005506, GO:0016705, GO:0020037	-
2070	CcGene_22118	CcContig_127914	59659	60727	+	Secondary Metabolite	KAL1810731.1hypothetical protein ACET3Z_020796 [Daucus carota]	GO:0004497, GO:0005506, GO:0016705, GO:0020037	-
2071	CcGene_22125	CcContig_065201	9769	10196	-	Secondary Metabolite	KAK1358823.1Geraniol 8-hydroxylase [Heracleum sosnowskyi]	GO:0004497, GO:0005506, GO:0016705, GO:0020037	-
2072	CcGene_22223	CcContig_102374	203643	242388	-	Secondary Metabolite	KAL1812066.1hypothetical protein ACET3Z_022131 [Daucus carota]	GO:0004674, GO:0005515, GO:0005634, GO:0006468, GO:0016242, GO:0031929, GO:0031931, GO:0031932, GO:0044877	-
2073	CcGene_22271	CcContig_006586	6828	7899	+	Lipid & Polyketide Metabolism	monooxygenase	GO:0004864, GO:0005634, GO:0005737, GO:0009738, GO:0010427, GO:0038023, GO:0003674, GO:0003824, GO:0004497, GO:0007154, GO:0007165, GO:0008150, GO:0008152, GO:0009058, GO:0009719, GO:0009725, GO:0009735, GO:0009741, GO:0009742, GO:0009755, GO:0009850, GO:0009851, GO:0009889, GO:0009987, GO:0010033, GO:0010600, GO:0010817, GO:0014070, GO:0016491, GO:0016705, GO:0016709, GO:0019222, GO:0023052, GO:0031323, GO:0031326, GO:0032350, GO:0032870, GO:0033993, GO:0042221, GO:0042445, GO:0042446, GO:0043401, GO:0044237, GO:0044249, GO:0046885, GO:0048545, GO:0050789, GO:0050794, GO:0050896, GO:0051716, GO:0055114, GO:0065007, GO:0065008, GO:0070887, GO:0071310, GO:0071367, GO:0071383, GO:0071396, GO:0071407, GO:0071495, GO:0090354, GO:0103075, GO:1901700, GO:1901701	ko00380,ko01100,map00380,map01100
2074	CcGene_22294	CcContig_106818	3028	3924	+	Terpenoid Biosynthesis	7955.1geranyl diphosphate phosphohydrolase [Daucus carota subsp. sativus]	GO:0005829, GO:0006203, GO:0035539	-
2075	CcGene_22327	CcContig_131646	3537	5387	+	Terpenoid Biosynthesis	AZL40027.1sesquiterpene synthase [Thapsia laciniata]	GO:0000287, GO:0010333, GO:0016102	-
2076	CcGene_22346	CcContig_048220	8195	13615	+	Terpenoid Biosynthesis	KAL1805774.1hypothetical protein ACET3Z_028842 [Daucus carota]	GO:0000287, GO:0010333, GO:0016102	-
2077	CcGene_22356	CcContig_113910	65510	69061	-	Secondary Metabolite	7159.1transcription factor MYB124 [Daucus carota subsp. sativus]	GO:0000978, GO:0000981, GO:0005634, GO:0006355	-
2078	CcGene_22447	CcContig_133450	2008	5797	+	Secondary Metabolite	Belongs to the MIP aquaporin (TC 1.A.8) family	GO:0000785, GO:0003682, GO:0005634, GO:0006334, GO:0042393, GO:0001101, GO:0003674, GO:0003676, GO:0003723, GO:0003729, GO:0005215, GO:0005372, GO:0005488, GO:0005515, GO:0005575, GO:0005622, GO:0005623, GO:0005737, GO:0005773, GO:0005886, GO:0005887, GO:0005911, GO:0006810, GO:0006811, GO:0006833, GO:0006855, GO:0006950, GO:0008150, GO:0009414, GO:0009415, GO:0009506, GO:0009507, GO:0009536, GO:0009605, GO:0009607, GO:0009624, GO:0009628, GO:0009719, GO:0009725, GO:0009737, GO:0010033, GO:0010035, GO:0015250, GO:0015267, GO:0015318, GO:0015893, GO:0016020, GO:0016021, GO:0019899, GO:0022803, GO:0022838, GO:0022857, GO:0030054, GO:0031224, GO:0031226, GO:0031625, GO:0033993, GO:0034220, GO:0042044, GO:0042221, GO:0042493, GO:0042891, GO:0043207, GO:0043226, GO:0043227, GO:0043229, GO:0043231, GO:0044389, GO:0044424, GO:0044425, GO:0044444, GO:0044459, GO:0044464, GO:0050896, GO:0051179, GO:0051181, GO:0051234, GO:0051704, GO:0051707, GO:0055044, GO:0055085, GO:0071944, GO:0080170, GO:0097159, GO:0097305, GO:1901363, GO:1901700	-
2079	CcGene_22491	CcContig_136290	68960	70645	+	Secondary Metabolite	KAL1823583.1hypothetical protein ACET3Z_010361 [Daucus carota]	GO:0004497, GO:0005506, GO:0016705, GO:0020037	-
2080	CcGene_22570	CcContig_014867	21898	23459	-	Secondary Metabolite	KAK1385542.1putative Tex protein-relatedtranscription accessory protein [Heracleum sosnowskyi]	GO:0003729, GO:0003735, GO:0006412, GO:0009570	-
2081	CcGene_22589	CcContig_097592	13258	15670	+	Secondary Metabolite	KAK1399909.1Hydroxycinnamoyl-CoA shikimate/quinate hydroxycinnamoyl transferase [Heracleum sosnowskyi]	GO:0016747	-
2082	CcGene_22604	CcContig_048683	10989	11991	+	Secondary Metabolite	Belongs to the protein kinase superfamily	GO:0004497, GO:0005506, GO:0016705, GO:0020037, GO:0003674, GO:0003824, GO:0004672, GO:0004674, GO:0005575, GO:0005623, GO:0005886, GO:0006464, GO:0006468, GO:0006793, GO:0006796, GO:0006807, GO:0008150, GO:0008152, GO:0009987, GO:0016020, GO:0016301, GO:0016310, GO:0016740, GO:0016772, GO:0016773, GO:0019538, GO:0036211, GO:0043170, GO:0043412, GO:0044237, GO:0044238, GO:0044260, GO:0044267, GO:0044464, GO:0071704, GO:0071944, GO:0140096, GO:1901564	-
2083	CcGene_22605	CcContig_048683	13912	15591	+	Secondary Metabolite	Trafficking protein particle complex subunit	GO:0004497, GO:0005506, GO:0016705, GO:0020037	-
2084	CcGene_22650	CcContig_009950	2707	5258	-	Secondary Metabolite	KAK1388507.1Protein-serine/threonine phosphatase [Heracleum sosnowskyi]	GO:0004722, GO:0035970, GO:0043169	-
2085	CcGene_22667	CcContig_127770	29745	31133	-	Lipid & Polyketide Metabolism	7052.23-ketoacyl-CoA synthase 12 [Daucus carota subsp. sativus]	GO:0006633, GO:0016020, GO:0016747	-
2086	CcGene_22669	CcContig_127770	105098	106782	+	Secondary Metabolite	4929.1cytochrome P450 71B34 [Daucus carota subsp. sativus]	GO:0004497, GO:0005506, GO:0016705, GO:0020037	-
2087	CcGene_22693	CcContig_107040	1988	3882	+	Secondary Metabolite	0774.1cytochrome P450 CYP82D47 [Daucus carota subsp. sativus]	GO:0004497, GO:0005506, GO:0016705, GO:0020037	-
2088	CcGene_22768	CcContig_117612	94178	95932	-	Secondary Metabolite	WOH04253.1hypothetical protein DCAR_0623662 [Daucus carota subsp. sativus]	GO:0048544	-
2089	CcGene_22769	CcContig_117612	13408	16109	+	Secondary Metabolite	8356.1receptor-like protein kinase THESEUS 1 [Daucus carota subsp. sativus]	GO:0004714, GO:0006468	-
2090	CcGene_22797	CcContig_138657	3690	4078	+	Secondary Metabolite	KAK1394205.1hypothetical protein POM88_013261 [Heracleum sosnowskyi]		-
2091	CcGene_22891	CcContig_004224	48788	57474	-	Secondary Metabolite	Belongs to the cytochrome P450 family	GO:0000993, GO:0031124, GO:0000162, GO:0002376, GO:0003674, GO:0003824, GO:0004497, GO:0005575, GO:0005622, GO:0005623, GO:0005737, GO:0005739, GO:0005783, GO:0005886, GO:0006082, GO:0006520, GO:0006568, GO:0006576, GO:0006586, GO:0006725, GO:0006790, GO:0006807, GO:0006950, GO:0006952, GO:0006955, GO:0007275, GO:0008150, GO:0008152, GO:0008652, GO:0009058, GO:0009072, GO:0009073, GO:0009308, GO:0009309, GO:0009314, GO:0009416, GO:0009605, GO:0009607, GO:0009617, GO:0009625, GO:0009628, GO:0009639, GO:0009641, GO:0009682, GO:0009683, GO:0009684, GO:0009759, GO:0009850, GO:0009851, GO:0009987, GO:0010114, GO:0010817, GO:0012505, GO:0016020, GO:0016043, GO:0016053, GO:0016143, GO:0016144, GO:0016491, GO:0016705, GO:0016709, GO:0018130, GO:0019438, GO:0019748, GO:0019752, GO:0019757, GO:0019758, GO:0019760, GO:0019761, GO:0022622, GO:0032501, GO:0032502, GO:0032787, GO:0033036, GO:0033037, GO:0033554, GO:0034641, GO:0034754, GO:0042343, GO:0042401, GO:0042430, GO:0042435, GO:0042445, GO:0042446, GO:0042545, GO:0042742, GO:0043207, GO:0043226, GO:0043227, GO:0043229, GO:0043231, GO:0043436, GO:0044106, GO:0044237, GO:0044238, GO:0044249, GO:0044271, GO:0044272, GO:0044281, GO:0044283, GO:0044424, GO:0044444, GO:0044464, GO:0044550, GO:0045087, GO:0045229, GO:0046219, GO:0046394, GO:0046483, GO:0048364, GO:0048731, GO:0048830, GO:0048856, GO:0050896, GO:0051179, GO:0051641, GO:0051704, GO:0051707, GO:0051716, GO:0052386, GO:0052482, GO:0052542, GO:0052543, GO:0052544, GO:0052545, GO:0055114, GO:0065007, GO:0065008, GO:0070727, GO:0071554, GO:0071555, GO:0071704, GO:0071840, GO:0071944, GO:0072330, GO:0098542, GO:0099402, GO:1901135, GO:1901137, GO:1901360, GO:1901362, GO:1901564, GO:1901566, GO:1901576, GO:1901605, GO:1901607, GO:1901657, GO:1901659	ko00140,ko00380,ko00966,ko01100,ko01110,ko01210,ko04913,ko04917,ko04927,ko04934,map00140,map00380,map00966,map01100,map01110,map01210,map04913,map04917,map04927,map04934
2092	CcGene_22935	CcContig_003925	12069	13656	+	Flavonoids & Phenylpropanoids	ari8,atari8	GO:0005504, GO:0006631, GO:0009570, GO:0016872	-
